               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 145,            0.017873,            0.020018,          0.00067325,             0.93804,             0.91582,             0.96005,             0.78008,              0.0188,             0.01463,           0.0010689,            0.005248,            0.005248,            0.005248
                 146,            0.017762,            0.019995,          0.00065224,             0.93385,             0.92081,             0.95944,             0.78035,            0.018771,            0.014679,           0.0010609,            0.005215,            0.005215,            0.005215
                 147,            0.017914,            0.019814,          0.00071759,             0.93493,             0.91977,             0.95967,             0.77921,            0.018739,            0.014663,           0.0010615,            0.005182,            0.005182,            0.005182
                 148,            0.017742,            0.019897,          0.00066946,             0.93133,             0.92109,             0.95986,             0.77937,            0.018749,            0.014757,           0.0010562,            0.005149,            0.005149,            0.005149
                 149,            0.017791,             0.02022,          0.00062481,             0.93177,             0.92098,             0.96075,             0.78008,            0.018741,            0.014724,           0.0010502,            0.005116,            0.005116,            0.005116
                 150,            0.017647,            0.019909,          0.00072035,             0.93211,             0.92145,              0.9611,             0.78037,            0.018729,             0.01473,           0.0010307,            0.005083,            0.005083,            0.005083
                 151,            0.017655,            0.020209,          0.00067036,             0.93942,             0.91526,             0.96074,             0.78059,            0.018726,            0.014781,           0.0010435,             0.00505,             0.00505,             0.00505
                 152,            0.017688,             0.02024,          0.00070473,             0.93895,             0.91556,             0.96028,             0.78027,            0.018729,            0.014805,           0.0010446,            0.005017,            0.005017,            0.005017
                 153,            0.017823,             0.01983,           0.0006012,               0.928,             0.92557,             0.96003,             0.78048,            0.018724,            0.014813,           0.0010527,            0.004984,            0.004984,            0.004984
                 154,            0.017621,            0.019786,          0.00064086,              0.9322,             0.92181,             0.96038,             0.78047,            0.018725,            0.014798,           0.0010446,            0.004951,            0.004951,            0.004951
                 155,            0.017633,            0.019695,           0.0006896,             0.93609,             0.91876,             0.96006,             0.78139,            0.018679,            0.014804,           0.0010441,            0.004918,            0.004918,            0.004918
                 156,            0.017441,            0.019997,          0.00064198,             0.93596,             0.91868,             0.96012,             0.78162,            0.018654,            0.014792,           0.0010261,            0.004885,            0.004885,            0.004885
                 157,             0.01776,            0.019899,          0.00063421,             0.93987,             0.91823,             0.95989,             0.78261,             0.01862,            0.014786,           0.0010049,            0.004852,            0.004852,            0.004852
